-4.5586	3.3077	4.3607
-4.5168	3.2253	2.9437
-4.5795	3.2174	5.0692
-4.6013	3.1797	5.8066
-4.5689	3.1047	4.7103
-4.453	2.9747	0.78537
-4.477	2.9391	1.597
-4.5453	2.9316	3.9112
-4.5363	2.8736	3.6068
-4.5019	2.7999	2.4412
-4.6079	2.8128	6.0307
-4.5163	2.7048	2.9273
-4.4881	2.6363	1.9732
-4.5157	2.6005	2.9089
-4.5902	2.5905	5.4297
-4.6176	2.5528	6.3573
-4.4914	2.4313	2.0867
-4.6273	2.4516	6.6866
-4.4483	2.3055	0.6266
-4.4743	-3.6073	1.5061
-4.4797	-3.6632	1.6879
-4.5057	-3.7364	2.5685
-4.5025	-3.7856	2.4613
-4.4745	-3.8136	1.5118
-4.4523	-3.8459	0.76035
-4.4502	-3.8954	0.68984
-4.506	-3.9961	2.58
-4.5381	-4.0769	3.666
-4.4182	3.4435	1.103
-4.5285	3.4768	4.8734
-4.5502	3.4405	5.6161
-4.5308	3.3731	4.9524
-4.4998	3.2977	3.8934
-4.4808	3.2316	3.2419
-4.4161	3.1337	1.0321
-4.465	3.1164	2.7027
-4.5128	3.0972	4.3366
-4.5401	3.0631	5.2698
-4.511	2.991	4.2748
-4.5416	2.9585	5.3213
-4.4808	2.8668	3.2446
-4.4228	2.7782	1.2585
-4.4939	2.7706	3.6907
-4.589	2.7759	6.9437
-4.4026	2.6119	0.56964
-4.564	2.6546	6.0893
-4.466	2.5456	2.7368
-4.5508	2.541	5.6359
-4.5031	2.462	4.0047
-4.412	2.3609	0.89178
-4.5396	2.3764	5.256
-4.5877	2.3482	6.8999
-4.5766	2.2892	6.5197
-4.4941	2.1957	3.6973
-4.3949	2.0961	0.30453
-4.4492	-3.4159	2.1624
-4.476	-3.4885	3.0775
-4.4683	-3.5345	2.8158
-4.5524	-3.654	5.6919
-4.5111	-3.6734	4.2813
-4.5075	-3.7228	4.1557
-4.4854	-3.7567	3.3995
